V,P,R
2,0.6377952755905512,0.7147058823529412
4,0.5853658536585366,0.6728971962616822
6,0.5495867768595041,0.6224648985959438
8,0.5294117647058824,0.6097201767304861
10,0.5094102885821832,0.5694249649368864
12,0.5236907730673317,0.584958217270195
14,0.4960091220068415,0.585464333781965
16,0.5057736720554272,0.584
18,0.5129716981132075,0.5701179554390564
