V,P,R
2,0.4133042529989095,0.4667487684729064
4,0.46132971506105835,0.5324980422866092
6,0.48858921161825725,0.5524926686217009
8,0.46528998242530756,0.5672201392608462
10,0.4557988645579886,0.5531496062992126
12,0.456,0.5721797323135756
14,0.4520865533230294,0.5534531693472091
16,0.455521472392638,0.5523012552301255
18,0.44486547934823795,0.541263254956201
